private_uri,label,type,wikidata_uri,confidence
http://moviekg.local/resource/movie_181808,Star Wars: The Last Jedi,Movie,http://www.wikidata.org/entity/Q18486021,0.8
http://moviekg.local/resource/movie_185341,[REC]⁴ Apocalypse,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_19995,Avatar,Movie,http://www.wikidata.org/entity/Q29387886,1.0
http://moviekg.local/resource/movie_203121,Robin Hood,Movie,http://www.wikidata.org/entity/Q19090,1.0
http://moviekg.local/resource/movie_206194,Transistorized!,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_225914,Spider-Man,Movie,http://www.wikidata.org/entity/Q484442,1.0
http://moviekg.local/resource/movie_227156,The Giver,Movie,http://www.wikidata.org/entity/Q15079344,1.0
http://moviekg.local/resource/movie_237335,Grape Nutty,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_238,The Godfather,Movie,http://www.wikidata.org/entity/Q47703,1.0
http://moviekg.local/resource/movie_24428,The Avengers,Movie,http://www.wikidata.org/entity/Q182218,1.0
http://moviekg.local/resource/movie_244458,The Voices,Movie,http://www.wikidata.org/entity/Q15040678,1.0
http://moviekg.local/resource/movie_254023,The Humbling,Movie,http://www.wikidata.org/entity/Q16985254,1.0
http://moviekg.local/resource/movie_254472,Stung,Movie,http://www.wikidata.org/entity/Q21334154,1.0
http://moviekg.local/resource/movie_262267,Darkest Night,Movie,http://www.wikidata.org/entity/Q17104441,1.0
http://moviekg.local/resource/movie_269149,Zootopia,Movie,http://www.wikidata.org/entity/Q15270647,1.0
http://moviekg.local/resource/movie_27205,Inception,Movie,http://www.wikidata.org/entity/Q25188,1.0
http://moviekg.local/resource/movie_278154,Ice Age: Collision Course,Movie,http://www.wikidata.org/entity/Q15965953,1.0
http://moviekg.local/resource/movie_299534,Avengers: Endgame,Movie,http://www.wikidata.org/entity/Q23781155,1.0
http://moviekg.local/resource/movie_299536,Avengers: Infinity War,Movie,http://www.wikidata.org/entity/Q23780914,1.0
http://moviekg.local/resource/movie_31393,The Unearthly,Movie,http://www.wikidata.org/entity/Q2546069,1.0
http://moviekg.local/resource/movie_315635,Spider-Man: Homecoming,Movie,http://www.wikidata.org/entity/Q23010088,1.0
http://moviekg.local/resource/movie_337170,American Made,Movie,http://www.wikidata.org/entity/Q18811617,1.0
http://moviekg.local/resource/movie_341553,Countess Dora,Movie,http://www.wikidata.org/entity/Q3506191,1.0
http://moviekg.local/resource/movie_360236,Bihotzez,Movie,http://www.wikidata.org/entity/Q65048329,1.0
http://moviekg.local/resource/movie_378584,High Tor,Movie,http://www.wikidata.org/entity/Q51591145,0.5
http://moviekg.local/resource/movie_386948,Beautiful Brazil,Movie,NOT_FOUND,0.0
http://moviekg.local/resource/movie_397770,The Birth,Movie,http://www.wikidata.org/entity/Q16552,0.5
http://moviekg.local/resource/movie_397805,Brothers,Movie,http://www.wikidata.org/entity/Q31184,0.5
http://moviekg.local/resource/movie_425274,Now You See Me: Now You Don't,Movie,http://www.wikidata.org/entity/Q18703028,0.8
http://moviekg.local/resource/movie_429617,Spider-Man: Far From Home,Movie,http://www.wikidata.org/entity/Q27985819,1.0
http://moviekg.local/resource/movie_438631,Dune,Movie,http://www.wikidata.org/entity/Q60834962,1.0
http://moviekg.local/resource/movie_444796,Maximum Thrust,Movie,http://www.wikidata.org/entity/Q117731890,1.0
http://moviekg.local/resource/movie_458576,Monster Hunter,Movie,http://www.wikidata.org/entity/Q56906869,1.0
http://moviekg.local/resource/movie_46283,The Sisters,Movie,http://www.wikidata.org/entity/Q55635545,0.5
http://moviekg.local/resource/movie_46563,Saratoga Trunk,Movie,http://www.wikidata.org/entity/Q1121131,1.0
http://moviekg.local/resource/movie_467905,How to Make a Killing,Movie,http://www.wikidata.org/entity/Q126488898,1.0
http://moviekg.local/resource/movie_475557,Joker,Movie,http://www.wikidata.org/entity/Q42759035,1.0
http://moviekg.local/resource/movie_496243,Parasite,Movie,http://www.wikidata.org/entity/Q61448040,1.0
http://moviekg.local/resource/movie_502356,The Super Mario Bros. Movie,Movie,http://www.wikidata.org/entity/Q108671102,1.0
http://moviekg.local/resource/movie_512850,Ošklivá princezna,Movie,http://www.wikidata.org/entity/Q104893622,1.0
http://moviekg.local/resource/movie_513592,Vodnická čertovina,Movie,http://www.wikidata.org/entity/Q104894936,1.0
http://moviekg.local/resource/movie_515771,Lady Bodyguard,Movie,http://www.wikidata.org/entity/Q20002092,1.0
http://moviekg.local/resource/movie_519182,Despicable Me 4,Movie,http://www.wikidata.org/entity/Q113373276,1.0
http://moviekg.local/resource/movie_533533,TRON: Ares,Movie,http://www.wikidata.org/entity/Q120237363,1.0
http://moviekg.local/resource/movie_533535,Deadpool & Wolverine,Movie,http://www.wikidata.org/entity/Q102180106,1.0
http://moviekg.local/resource/movie_54979,Robinson Crusoe,Movie,http://www.wikidata.org/entity/Q12292447,0.5
http://moviekg.local/resource/movie_561362,Rust Creek,Movie,http://www.wikidata.org/entity/Q59351164,1.0
http://moviekg.local/resource/movie_57214,Project X,Movie,http://www.wikidata.org/entity/Q1110216,0.5
http://moviekg.local/resource/movie_582793,Cradle,Movie,http://www.wikidata.org/entity/Q12062860,0.5
http://moviekg.local/resource/movie_590965,Drag Racer,Movie,http://www.wikidata.org/entity/Q131428424,1.0
http://moviekg.local/resource/movie_62029,Bingo Bongo,Movie,http://www.wikidata.org/entity/Q781526,1.0
http://moviekg.local/resource/movie_634649,Spider-Man: No Way Home,Movie,http://www.wikidata.org/entity/Q68934496,1.0
http://moviekg.local/resource/movie_646315,The Legendary Lighter,Movie,http://www.wikidata.org/entity/Q85984749,0.5
http://moviekg.local/resource/movie_680493,Return to Silent Hill,Movie,http://www.wikidata.org/entity/Q114771310,1.0
http://moviekg.local/resource/movie_687163,Project Hail Mary,Movie,http://www.wikidata.org/entity/Q107105860,1.0
http://moviekg.local/resource/movie_693134,Dune: Part Two,Movie,http://www.wikidata.org/entity/Q109228991,1.0
http://moviekg.local/resource/movie_7451,xXx,Movie,http://www.wikidata.org/entity/Q488111,0.8
http://moviekg.local/resource/movie_746467,USS Christmas,Movie,http://www.wikidata.org/entity/Q109914253,1.0
http://moviekg.local/resource/movie_749343,The Catcher,Movie,http://www.wikidata.org/entity/Q7721701,1.0
http://moviekg.local/resource/movie_755898,War of the Worlds,Movie,http://www.wikidata.org/entity/Q202028,1.0
http://moviekg.local/resource/movie_76600,Avatar: The Way of Water,Movie,http://www.wikidata.org/entity/Q3604746,1.0
http://moviekg.local/resource/movie_798645,The Running Man,Movie,http://www.wikidata.org/entity/Q1058512,1.0
http://moviekg.local/resource/movie_83533,Avatar: Fire and Ash,Movie,http://www.wikidata.org/entity/Q29580929,1.0
http://moviekg.local/resource/movie_840464,Greenland 2: Migration,Movie,http://www.wikidata.org/entity/Q124737605,1.0
http://moviekg.local/resource/movie_858024,Hamnet,Movie,http://www.wikidata.org/entity/Q122741016,1.0
http://moviekg.local/resource/movie_872585,Oppenheimer,Movie,http://www.wikidata.org/entity/Q108839994,1.0
http://moviekg.local/resource/movie_875828,Peaky Blinders: The Immortal Man,Movie,http://www.wikidata.org/entity/Q124355470,1.0
http://moviekg.local/resource/movie_879945,The Unknown Man,Movie,http://www.wikidata.org/entity/Q7771644,1.0
http://moviekg.local/resource/movie_911430,F1,Movie,http://www.wikidata.org/entity/Q1437614,0.5
http://moviekg.local/resource/movie_932852,Six Coups,Movie,http://www.wikidata.org/entity/Q3485576,0.5
http://moviekg.local/resource/movie_96712,The Puppetmaster,Movie,http://www.wikidata.org/entity/Q711170,1.0
http://moviekg.local/resource/movie_969681,Spider-Man: Brand New Day,Movie,http://www.wikidata.org/entity/Q113244935,1.0
http://moviekg.local/resource/movie_978053,Pants,Movie,http://www.wikidata.org/entity/Q39908,0.5
http://moviekg.local/resource/movie_98085,Operation Kid Brother,Movie,http://www.wikidata.org/entity/Q1638257,0.8
http://moviekg.local/resource/movie_991494,The SpongeBob Movie: Search for SquarePants,Movie,http://www.wikidata.org/entity/Q118847776,1.0
http://moviekg.local/resource/movie_991708,El Conde,Movie,http://www.wikidata.org/entity/Q115604159,1.0
http://moviekg.local/resource/movie_999136,Do Not Enter,Movie,http://www.wikidata.org/entity/Q129485961,1.0
http://moviekg.local/resource/person_3638397,Kris Collins,Director,http://www.wikidata.org/entity/Q100771228,0.5
http://moviekg.local/resource/person_124748,Chris Renaud,Director,http://www.wikidata.org/entity/Q351884,0.5
http://moviekg.local/resource/person_40223,Joe Carnahan,Director,http://www.wikidata.org/entity/Q936866,0.5
http://moviekg.local/resource/person_2103746,Emma Tammi,Director,http://www.wikidata.org/entity/Q22667836,0.5
http://moviekg.local/resource/person_57130,Todd Phillips,Director,http://www.wikidata.org/entity/Q362824,0.5
http://moviekg.local/resource/person_2710,James Cameron,Director,http://www.wikidata.org/entity/Q42574,0.5
